id,price,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,yr_built,yr_renovated,sqft_living15,sqft_lot15,recent_sells,beds_4more,has_basement,loc_north_west,loc_north_east
7739100155,750000,1.75,2850,11860,1.0,0,0,3,9,2850,1951,0,2640,11604,0,1,0,1,0
6099400053,145000,1.0,1010,5490,1.0,0,0,3,6,1010,1954,0,1740,10658,0,0,0,0,0
7468900270,140000,1.0,1090,10114,1.0,0,0,4,7,1090,1955,0,1380,7800,0,0,0,0,0
396100025,339999,2.0,1740,6369,1.0,0,0,5,6,870,1954,0,1560,7200,0,1,1,1,0
1160000255,311000,1.0,1120,8631,1.0,0,0,3,7,1120,1942,0,1350,7714,0,0,0,1,0
6300000320,359950,1.0,1240,7590,1.0,0,0,4,7,1040,1939,0,1190,5692,0,0,1,1,0
6392000570,399000,1.0,790,4000,1.0,0,0,3,6,790,1948,0,990,5000,1,0,0,1,0
1121000058,485000,1.75,1790,6775,1.0,0,2,3,8,1790,1951,0,1310,6028,1,0,0,1,0
9828702120,581000,1.0,1630,2566,1.5,0,0,3,7,1630,1921,0,1220,2314,0,1,0,1,0
7715800310,442500,2.25,1510,7280,2.0,0,0,3,7,1510,1987,0,1510,8120,0,0,0,0,1
8562740370,751000,2.5,2790,6538,2.0,0,0,3,9,2790,2003,0,2990,6538,1,1,0,0,1
5637500070,438000,2.5,1520,1304,2.0,0,0,3,8,1180,2006,0,1270,1718,0,0,1,1,0
5561400470,585000,3.25,3410,34939,2.0,0,0,4,9,2470,1992,0,2450,39045,1,1,1,0,1
1189000205,400000,2.5,1170,1811,2.0,0,0,3,8,1170,2001,0,1250,3146,1,0,0,1,0
2412100025,315000,1.5,1750,12500,1.0,0,0,3,7,1150,1954,0,1680,13000,0,0,1,0,1
1073100065,348125,1.0,1400,8451,1.5,0,0,3,7,1400,1953,0,1590,8433,1,0,0,1,0
5160300020,554000,1.75,1760,10780,1.0,0,0,3,8,1760,1977,0,2090,10780,0,0,0,0,1
2770601677,494000,3.5,1570,1486,2.5,0,0,3,8,1330,2000,0,1610,1486,1,0,1,1,0
5104450070,435000,2.25,2730,7506,2.0,0,0,4,8,2730,1987,0,2390,8015,1,1,0,0,0
820079043,428000,1.75,1580,507038,1.0,0,2,4,7,1580,1985,0,2040,210394,0,0,0,0,0
751000190,355000,1.75,1120,7740,1.0,0,0,4,6,860,1948,0,1240,7740,0,0,1,1,0
1823049179,385000,2.0,2340,9716,1.0,0,0,3,7,2340,2009,0,1180,13500,1,1,0,1,0
7430200060,1583000,4.0,5610,11063,3.0,0,0,3,11,4750,2006,0,4560,11063,1,1,1,0,1
3331000035,495000,2.5,1750,1548,3.0,0,0,3,9,1750,2013,0,1750,3960,0,0,0,1,0
1775910370,464000,2.25,2220,15232,1.0,0,0,3,9,1690,1978,0,2110,15280,1,1,1,0,1
3626039299,588000,1.0,1910,8167,1.0,0,0,4,8,1270,1951,0,1500,6816,1,0,1,1,0
1546600125,640000,2.25,1980,10115,1.0,0,0,3,8,1980,1959,0,2800,10143,0,0,0,1,0
3260810150,355000,2.0,2160,8091,1.5,0,0,3,8,2160,2000,0,2190,8297,0,0,0,0,0
6817800330,405000,1.0,1090,10481,1.0,0,0,2,7,780,1981,0,1160,10533,0,0,1,0,1
414100045,344950,1.75,2240,7500,1.0,0,0,4,7,1120,1956,0,1440,7500,0,1,1,1,0
